File_ID,Max_Temp,Avg_Temp,Avg_Discharge_Load,Cutoff_Voltage,Capacity_Ah,Battery_ID,Cycle_in_Battery,RUL
1,12.376815880696888,8.272422519178683,1.00110134824347,2.470611866932728,1.7059340104658989,1,1,215
5,11.314903320182369,8.210715424489035,0.9981417400029184,2.477661652422805,1.5485357022434825,1,2,214
7,11.624528187721143,7.954455063989402,1.0003069695936524,2.4707098734854784,1.5323186894261,1,3,213
9,11.0929238810592,7.985864710265717,0.9982799264042614,2.465457800547402,1.5116230165004456,1,4,212
11,11.020979145558456,8.009426990342208,0.9986834889880236,2.465765118194009,1.4952409164579814,1,5,211
13,11.05909419348262,8.033626730077737,1.0016128378277855,2.4700482803033514,1.4770248547106506,1,6,210
17,11.877028657628198,8.150799939416203,0.9983585499996894,2.484128874181115,1.474082739283937,1,7,209
21,11.559250858608888,8.230899786348077,1.001368895703553,2.483034750266961,1.4631523705935607,1,8,208
23,11.34743713793976,8.146945225413083,1.0008569581108415,2.49830336362436,1.443800726312955,1,9,207
25,11.693269060729056,8.251894856354932,0.9983176454232487,2.49851157426792,1.4283416080016382,1,10,206
27,11.557441727679937,8.23497518866995,0.9987614170997864,2.4919375577484737,1.4131225186689385,1,11,205
29,11.667407771157473,8.269239827690175,0.9997148821455012,2.4683068422721184,1.401241510591274,1,12,204
33,11.311016339650983,8.236583239584068,0.997480494103194,2.479195639185483,1.4384289999323763,1,13,203
37,11.175603921563273,8.16126508624072,0.9986334774069276,2.4933737831605582,1.4343850906893785,1,14,202
39,11.15023736338702,8.25301239256121,0.9987804112417712,2.491571322470993,1.4154048242881148,1,15,201
41,11.81131136026599,8.291638340695691,0.999389466856038,2.471859124111365,1.3991543469547225,1,16,200
43,11.699803023226297,8.318107121376224,0.9976329826755008,2.488914813470205,1.3784536192991452,1,17,199
45,11.234017863419322,8.303021352537922,0.9979036135281564,2.472852533936716,1.3617122523873122,1,18,198
49,11.729632241368254,8.32601397527908,0.9983031482652808,2.4822189935935484,1.3478089993292992,1,19,197
51,8.565277404002732,7.192903163731922,0.9986297932484944,3.452630071948054,0.6545397527843895,1,20,196
