Cycle_in_Battery,Max_Temp,Avg_Temp,Avg_Discharge_Load,Cutoff_Voltage,Actual_Capacity
200,27.768468074040385,25.563889372683043,3.5569129314026955,3.165508713550229,1.5318153655432132
18,25.42021899627584,24.904899107239256,2.0080365229044976,2.652914601502536,1.7860759459480864
374,30.561888059848663,27.352912389061878,3.60368132297844,3.1911623270999088,1.480346237400934
292,28.22095804385234,25.51472656566556,3.5620631240294625,3.1543641854707625,1.482908805859782
186,27.38404203897108,24.684612449966963,3.583783414614519,3.1799200100269345,1.5418955093217086
200,35.83938701624516,30.46760275047683,2.0011249665699338,2.6736629264226712,1.6832093771286156
345,53.50394440240513,38.03726842877258,4.030353141551276,1.901348395168944,1.462879193937812
54,37.24165964092258,30.92143474404136,2.022139165928567,2.346064498302046,1.885139749897619
78,30.99385540407712,27.93209145768323,3.521186256045146,3.1415605038180807,1.7735962472944764
20,31.265066104037302,28.31329904657268,3.1413407702818965,2.9079423803915856,1.8505226879432035
289,54.53862414235327,38.66855198329813,4.031735458078508,1.964418985321,1.480828216608476
154,41.433877603827945,32.953112654161664,1.9945472659822976,2.164636064139996,1.5679999189918266
12,28.63460559189433,24.993919378962516,2.2573390854177324,3.172777675647531,1.8581735024122168
393,62.48134926186261,54.21167948917778,4.026685043731495,2.0440070679316857,1.787151934031394
301,36.19248743463794,25.650349774359256,2.240111639680257,3.100432574756339,1.6338497339477869
397,62.11029841216025,54.15360140656882,4.026835815972069,2.1712631392036204,1.7498293860197338
240,36.31712206468977,30.97728291917627,2.0016029724530995,2.6506127411002423,1.6668450767774967
45,51.546238399221565,36.823942592131566,4.029153463598805,1.853794752061886,1.7198301130183171
64,30.354222263750568,27.746243974799963,3.6316893223106814,3.2233969536365947,1.7082844893007487
77,37.35209565946317,28.108552471224623,2.234108443441002,2.970712776094388,1.7685359397338234
365,35.94580144535173,25.27865246580887,2.2356905300440224,3.0755884735876124,1.623763092835315
80,29.13090160719656,26.419705397313077,3.5907044815384923,3.1865213844968183,1.7390020134719788
52,28.19909801127054,25.617337309604267,3.6551070154668177,3.2211346092004054,1.7101829747850776
506,14.518586105925962,8.86215516188506,1.012201146303343,1.9711826686049976,1.1903464918768234
260,40.97063567014205,32.4886182994049,1.9936134940183787,1.9917978280585305,1.4407412714460883
134,41.04923314430273,32.652115712561326,1.995283636272928,2.138556110583413,1.5992977156114052
41,25.19923392821779,24.375971403997298,2.2392959320006747,3.1738059615160044,1.753912399249179
250,40.884444140401214,32.417221778010834,1.9934414275491168,1.987193667465448,1.455967902852534
177,54.608136974659445,38.5029228575476,4.03028398584487,1.77881535602872,1.5682406171405772
178,41.63553796804361,33.29697162630193,1.993558124867768,2.0069579017420067,1.5580488439366298
454,57.56779185226476,45.62544421858205,3.691070214830464,3.32480610486125,1.6297570909522332
5,29.737943483552232,27.36788735820369,2.258049224284272,2.978398844179535,1.863892118304805
509,13.400963787224589,8.639658664137915,1.0091487810629698,1.9641170559105663,1.1039617773986723
257,56.299084505467846,40.262388264621016,4.03143308473883,1.9395710043147305,1.5082925188193634
384,38.43630283495838,33.14386747805384,2.0025068680909213,2.676038889381632,1.5969854003890187
104,29.537310773703567,25.67656084340354,2.2575052091681385,3.440167531478127,1.6411431974668278
168,35.77783462667514,30.592002581671935,2.001660451447316,2.643376209522438,1.710370861720813
314,37.19257582780181,32.14080730031082,1.9999016673464969,2.626900680068646,1.6786654987614698
35,27.150500973474,25.98975036793198,2.2364212542283,2.973842880728024,1.7752571002719004
58,35.59540889841283,30.77808307184711,2.0014781325623847,2.636976729427503,1.7713348840874137
103,52.64070518740206,37.72135386687406,4.032672607638048,1.905966283713238,1.6486210494028268
162,35.629734084261784,30.48169086494209,2.0017748549858165,2.6699917743429817,1.711202925329962
497,9.652988520428655,6.867303793453594,4.02709431360029,1.750577605139322,0.0665027104833875
204,37.84191340591018,32.58002111430288,2.0019187157474807,2.6818321771597287,1.6984668174144637
21,24.285118039975963,24.058654010731185,2.240728156699609,3.148010570703134,1.7736808751167048
355,53.35830232724686,37.98761504071771,4.032323959410741,1.9386542857041755,1.442200008587304
50,27.69833389679442,25.151245423346246,3.647521785265275,3.2158968238978023,1.7128982023439814
320,37.37954300419149,31.94447620925181,2.002639753916218,2.629018498984386,1.6698424436460064
105,36.27284002472665,26.736635319558303,2.240482140130677,2.961687654654952,1.7554241058451194
28,28.293152961467708,24.56829281318528,2.255500726606694,3.2474350465338744,1.8259818020792045
234,40.965385542419945,32.603239183227075,1.994206051788244,2.051877342511651,1.4609352642646058
12,25.434898613415253,24.87901399238054,2.010514808331086,2.6568692251182435,1.788550798562189
49,39.66314441864834,31.889431533099835,1.99255052774098,2.143037413381466,1.77873079557331
18,30.37989941847062,27.80239625420814,3.326511162483801,3.0365924218482068,1.8328251771003083
224,27.718185388789333,25.133730340539937,3.560019129961385,3.156725205053238,1.5076541201496665
49,35.083585617246314,25.534433563379483,2.2343460412160074,2.9424826434204787,1.7894761038918812
279,28.036985142965303,25.924212788366734,2.234695250843874,3.253107738561714,1.6593086610305814
111,40.6345689985191,32.06065237439007,1.994813747444024,2.0287779476202195,1.6200110476582623
